"id","title","price"
9039004893513,"Jeudi 12/06: Assortiment de falafels, ratatouille de légumes et semoule","15.00"
9039005122889,"Jeudi 12/06: Bavarois façon tiramisu","4.50"
9039004991817,"Jeudi 12/06: Bouchée à la reine et purée","14.00"
9039005253961,"Jeudi 12/06: Dôme au chocolat et garnitures","7.00"
9211807269193,"Jeudi 12/06: Gratin de conchiglie au saumon et scampi aux poireaux légèrement curry","15.00"
9039005221193,"Jeudi 12/06: Noix de Saint Jacques, croustillant de coppa, sauce aux échalotes et Noilly Pratt, risotto aux asperges et tomates","29.00"
9039005024585,"Jeudi 12/06: Pancetta et burratina, tapenade de tomates et garnitures","14.00"
9039005057353,"Jeudi 12/06: Panna cotta parfumée à la verveine","4.50"
9211807007049,"Jeudi 12/06: Roulé à la cannelle","4.50"
9039005647177,"Jeudi 12/06: Soupe de maïs","3.50"
9039005614409,"Jeudi 12/06: Velouté de persil","3.50"
9211806613833,"Jeudi 12/06: Vichyssoise (servir froid ou chaud suivant notre climat belge)","3.50"
9039006368073,"Jeudi 19/06: Assortiment de mini pâtisseries","4.50"
9039003418953,"Jeudi 19/06: Bavarois à la framboise","4.50"
9039005974857,"Jeudi 19/06: Bouillon de légumes au quinoa","3.50"
9039003550025,"Jeudi 19/06: Filet de bœuf à l’armoricaine, raviole de homard, bouquetière de légumes et pommes grenailles rôties","31.00"
9211806318921,"Jeudi 19/06: Fraises et melon","4.50"
9039003353417,"Jeudi 19/06: Lasagne à la forestière (poulet et champignons)","14.00"
9039006302537,"Jeudi 19/06: Mijoté de poissons à l’ostendaise et purée au cerfeuil","15.00"
9211805729097,"Jeudi 19/06: Navarin d’agneau et pommes persillées","15.00"
9039003779401,"Jeudi 19/06: Plaisir cœur de fruits: Entremets: biscuit dacquoise coco,  mousse mangue, cœur fruits rouges","7.00"
9039005581641,"Jeudi 19/06: Potage aux poivrons légèrement relevé","3.50"
9039003386185,"Jeudi 19/06: Quiche lorraine et garnitures","14.00"
9211805073737,"Jeudi 19/06: Velouté de cresson","3.50"
9039280636233,"Mardi 10/06: Crème de légumes du sud","3.50"
9039004500297,"Mardi 10/06: Délice aux fruits des bois","4.50"
9039004467529,"Mardi 10/06: Fondant au chocolat (servir chaud)","4.50"
9521220419913,"Mardi 10/06: Minestrone","3.50"
9039004172617,"Mardi 10/06: Nuggets de poulet, sauce tartare, salade coleslaw et pommes wedges","14.00"
9039004139849,"Mardi 10/06: Saucisse de campagne, sauce moutarde et stoemp aux carottes et lardons","14.00"
9039004401993,"Mardi 10/06: Saumon en 3 façons et garnitures","15.00"
9039002796361,"Mardi 17/06: Assortiment de fromages belges, sirop de Liège et garnitures","15.00"
9039003877705,"Mardi 17/06: Boulettes de bœuf au curry et lait de coco, légumes croquants et riz thaï","15.00"
9039003844937,"Mardi 17/06: Crème caramel","4.50"
9039006171465,"Mardi 17/06: Crème de volaille à l’estragon","3.50"
9039002730825,"Mardi 17/06: Escalope de porc « Sambre et Meuse », haricots beurre au persil plat  et rösties","14.00"
9039006204233,"Mardi 17/06: Soupe de poissons au fenouil","3.50"
9039002861897,"Mardi 17/06: Tartelette aux pommes","4.50"
9049307513161,"Noël : Entrée: ""Autour du homard"": Raviole de homard sauce bisque,  panna cotta de homard et salade de homard","25.00"
9039007285577,"Noël : Entrée: Cœur de saumon façon ""Gravlax"", sauce miel, moutarde et aneth,  mesclun de jeunes pousses, brioche","19.00"
9039006957897,"Noël : Entrée: Duo de foie gras de canard, confit d'oignons aux framboises  et sa poire dans sa tarte, pain brioché","24.00"
9385118695753,"Noël : Plat chaud: ""Autour du homard"": Raviole de homard sauce bisque,  panna cotta de homard et salade de homard accompagnés de risotto aux pleurotes","31.00"
9039006794057,"Noël : Plat chaud: Civet de biche à l'ardennaise, chicon braisé, pomme reinette rôtie  et purée au potimarron","27.00"
9049309413705,"Noël : Plat chaud: Filet de lièvre à la vigneronne, mousseline de panais,  betteraves rôties et gratin de pommes de terre truffé","32.00"
9039006662985,"Noël: Dessert: Délice de Noël au chocolat et ses garnitures","9.00"
9039005483337,"Noël: Potage: Cappuccino de chicons, chips de pancetta et éclats de noisettes torréfiées","7.00"
9049308791113,"Nouvel An : Entrée: ""Autour du homard"": Raviole de homard sauce bisque,  panna cotta de homard et salade de homard","25.00"
9049308561737,"Nouvel An : Entrée: Cœur de saumon façon ""Gravlax"", sauce miel, moutarde et aneth,  mesclun de jeunes pousses, brioche","19.00"
9039007023433,"Nouvel An : Entrée: Duo de foie gras de canard, confit d'oignons aux framboises  et sa poire dans sa tarte, pain brioché","24.00"
9385120170313,"Nouvel An : Plat chaud: ""Autour du homard"": Raviole de homard sauce bisque,  panna cotta de homard et salade de homard accompagnés de risotto aux pleurotes","31.00"
